כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
בת חן 14,114,28/06/2004,"1,158,000 ₪",11193-309-7,דירה בבית קומות,5,שלישית רביעית*,2000,"17,105 ₪",1
דוכיפת 8,87.1,20/09/2023,"2,040,000 ₪",11193-294-5,דירה בבית קומות,4,שניה,2007,"23,448 ₪",4
דוכיפת 8,87.1,16/08/2016,"1,869,000 ₪",11193-294-5,דירה בבית קומות,4,שניה,2007,"23,448 ₪",4
דוכיפת 8,87.1,14/05/2008,"895,000 ₪",11193-294-5,דירה בבית קומות,4,שניה,2007,"23,448 ₪",4
בת חן 20,60,18/08/2023,"1,500,000 ₪",11193-268-4,דירה בבית קומות,3,ראשונה,2001,"25,000 ₪",3
בת חן 7,26.6,20/07/2023,"615,000 ₪",11193-337-32,חנות,לא ידוע,קרקע,2014,"23,654 ₪",5
בת חן 7,26.6,11/01/2016,"409,000 ₪",11193-337-32,חנות,לא ידוע,קרקע,2014,"23,654 ₪",5
בת חן 7,26.6,01/01/2014,"472,000 ₪",11193-337-32,חנות,לא ידוע,קרקע,2014,"23,654 ₪",5
צופית 4,114.2,12/07/2023,"2,210,000 ₪",11193-308-1,דירה בבית קומות,5,מרתף קרקע וראשונה,1999,"19,386 ₪",1
צופית 4,114.2,23/11/2016,"1,993,000 ₪",11193-308-1,דירה בבית קומות,5,מרתף קרקע וראשונה,1999,"19,386 ₪",1
צופית 4,114.2,07/11/2002,"1,126,000 ₪",11193-308-1,דירה בבית קומות,5,מרתף קרקע וראשונה,1999,"19,386 ₪",1
בת חן 4,71,11/07/2023,"1,550,000 ₪",11193-300-5,דירה בבית קומות,3,ראשונה,2000,"21,831 ₪",3
צופית 4,114,14/06/2023,"2,250,000 ₪",11193-308-6,דירה בבית קומות,4.5,מרתף קרקע וראשונה,1999,"19,737 ₪",1
בת חן 54,79,10/05/2023,"2,025,000 ₪",11193-287-6,דירה בבית קומות,4.5,ראשונה,1999,"25,633 ₪",2
בת חן 4,78,19/04/2023,"1,830,000 ₪",11193-300-6,דירה בבית קומות,4,שלישית,2000,"23,462 ₪",3
בת חן 20,124,27/03/2023,"2,140,000 ₪",11193-268-3,דירה בבית קומות,5,שלישית,2001,"17,258 ₪",3
צופית 18,138.7,18/01/2023,"2,650,000 ₪",11193-258-41,דירה בבית קומות,5,קומה 3,2019,"19,203 ₪",5
צופית 18,138.7,04/09/2019,"1,960,000 ₪",11193-258-41,דירה בבית קומות,5,קומה 3,2019,"19,203 ₪",5
בת חן 44,90.78,18/01/2023,"1,950,000 ₪",11193-282-1,דירה בבית קומות,4,ראשונה,1999,"21,667 ₪",4
בת חן 44,90.78,28/07/1999,"1,009,000 ₪",11193-282-1,דירה בבית קומות,4,ראשונה,1999,"21,667 ₪",4
בת חן 7,25.9,09/01/2023,"570,000 ₪",11193-337-34,חנות,לא ידוע,קרקע,2014,"22,800 ₪",5
בת חן 7,25.9,03/02/2014,"415,000 ₪",11193-337-34,חנות,לא ידוע,קרקע,2014,"22,800 ₪",5
בת חן 54,120,21/12/2022,"2,300,000 ₪",11193-287-4,דירה בבית קומות,5,ראשונה,1999,"19,167 ₪",2
צופית 22,85,22/09/2022,"600,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,21/07/2003,"756,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
