כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
הזית 22,50.72,05/04/2022,"904,000 ₪",10816-52-12,דירה בבית קומות,2,שניה,1950,"17,823 ₪",4
המעפילים 21,38.8,31/03/2022,"860,000 ₪",10825-34-17,דירה בבית קומות,2,ראשונה,1960,"22,165 ₪",4
הזית 9,49.4,29/03/2022,"850,000 ₪",10816-32-17,דירה בבית קומות,2,שלישית,1950,"17,347 ₪",4
הזית 9,49.4,12/04/2000,"262,000 ₪",10816-32-17,דירה בבית קומות,2,שלישית,1950,"17,347 ₪",4
"צה""ל 25",42.9,27/03/2022,"960,000 ₪",10915-9-13,דירה בבית קומות,2,שלישית,1950,"22,378 ₪",4
"ש""י עגנון 9",58.4,24/03/2022,"720,000 ₪",10814-62-25,דירה בבית קומות,3,שביעית,1970,"12,414 ₪",7
"ש""י עגנון 9",58.4,25/01/2019,"520,000 ₪",10814-62-25,דירה בבית קומות,3,שביעית,1970,"12,414 ₪",7
"ש""י עגנון 9",58.4,17/04/2014,"450,000 ₪",10814-62-25,דירה בבית קומות,3,שביעית,1970,"12,414 ₪",7
"ש""י עגנון 9",58.4,09/04/2003,"416,000 ₪",10814-62-25,דירה בבית קומות,3,שביעית,1970,"12,414 ₪",7
אלנבי 155,לא ידוע,23/03/2022,"800,000 ₪",10816-108-4,קרקע למגורים,לא ידוע,קרקע,1960,לא ידוע,1
"צה""ל 71",70.9,22/03/2022,"1,160,000 ₪",10918-13-9,דירה בבית קומות,4,שלישית,1970,"16,361 ₪",6
"ש""י עגנון 22",65,21/03/2022,"940,000 ₪",10913-146-16,דירה בבית קומות,4,שלישית,1960,"14,462 ₪",4
"ש""י עגנון 22",65,03/02/2000,"385,000 ₪",10913-146-16,דירה בבית קומות,4,שלישית,1960,"14,462 ₪",4
"ש""י עגנון 38",48.5,21/03/2022,"740,000 ₪",10913-32-15,דירה בבית קומות,2,רביעית,1970,"15,417 ₪",4
"ש""י עגנון 38",48.5,09/01/2017,"595,000 ₪",10913-32-15,דירה בבית קומות,2,רביעית,1970,"15,417 ₪",4
קדושי דמשק 24,80.8,20/03/2022,"1,180,000 ₪",10913-21-31,דירה בבית קומות,4,רביעית,1970,"14,750 ₪",7
קדושי דמשק 24,80.8,07/10/2014,"735,000 ₪",10913-21-31,דירה בבית קומות,4,רביעית,1970,"14,750 ₪",7
סטלה מריס 28,64.09,18/03/2022,"1,135,000 ₪",10913-14-83,דירה בבית קומות,3,שלישית,1960,"17,734 ₪",6
סטלה מריס 28,64.09,17/02/2017,"980,000 ₪",10913-14-83,דירה בבית קומות,3,שלישית,1960,"17,734 ₪",6
סטלה מריס 28,64.09,22/04/2010,"450,000 ₪",10913-14-83,דירה בבית קומות,3,שלישית,1960,"17,734 ₪",6
הגפן 54,63.5,18/03/2022,"900,000 ₪",10913-12-87,דירה בבית קומות,3,חמישית,1980,"14,286 ₪",9
הגפן 54,63.5,20/10/2013,"670,000 ₪",10913-12-87,דירה בבית קומות,3,חמישית,1980,"14,286 ₪",9
"צה""ל 75",72.8,17/03/2022,"1,250,000 ₪",10918-13-40,דירה בבית קומות,3,ראשונה,1970,"17,361 ₪",7
"צה""ל 75",72.8,24/10/2017,"900,000 ₪",10918-13-40,דירה בבית קומות,3,ראשונה,1970,"17,361 ₪",7
דרור 18,38.8,14/03/2022,"825,000 ₪",10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,09/11/2015,"150,000 ₪",10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,11/03/2009,"180,000 ₪",10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,14/03/2022,חלק נמכר,10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,מחיר,1,10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,50%,"412,500 ₪",10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,2,50%,10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
דרור 18,38.8,"412,500 ₪","825,000 ₪",10915-23-1,דירה בבית קומות,2,ראשונה,1960,"21,711 ₪",4
