כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
זלמן שניאור 34,48.07,17/03/2016,"720,000 ₪",11194-284-11,דירה בבית קומות,2.5,קרקע,1960,"19,479 ₪",7
זלמן שניאור 34,48.07,15/11/2015,"680,000 ₪",11194-284-11,דירה בבית קומות,2.5,קרקע,1960,"19,479 ₪",7
יחזקאל 7,66,04/11/2019,"1,230,000 ₪",11196-6-85,דירה,3,שביעית,2017,"18,636 ₪",8
חביבה 13,103,04/11/2019,"1,590,000 ₪",11196-5-81,דירה בבית קומות,4,שמינית,2017,"15,437 ₪",9
ללא כתובת,101,01/11/2019,"1,500,000 ₪",11196-16-46,דירה בבית קומות,4,שישית,0,"14,851 ₪",0
חנקין 16,92,30/10/2019,"1,025,000 ₪",11200-118-2,דירה בבית קומות,1,ראשונה,1950,"11,141 ₪",1
חביבה 53,65.96,23/10/2019,"820,000 ₪",11196-66-14,דירה בבית קומות,3,רביעית,1970,"12,432 ₪",7
יחזקאל 7,124,22/10/2019,"1,560,000 ₪",11196-6-84,דירה,5,לא ידוע,2017,"12,581 ₪",8
ללא כתובת,122,17/10/2019,"1,620,000 ₪",11196-12-50,דירה בבית קומות,5,שמינית,0,"13,279 ₪",0
דובנוב 14,60.3,16/10/2019,"920,000 ₪",11196-84-23,דירה בבית קומות,3,רביעית,1970,"15,333 ₪",4
דובנוב 14,60.3,15/09/2013,"630,000 ₪",11196-84-23,דירה בבית קומות,3,רביעית,1970,"15,333 ₪",4
דובנוב 14,60.3,25/12/2003,"436,000 ₪",11196-84-23,דירה בבית קומות,3,רביעית,1970,"15,333 ₪",4
יהודה בורלא 14,67.7,16/10/2019,"790,000 ₪",11194-336-4,דירה בבית קומות,3,שניה,1970,"11,791 ₪",8
יהודה בורלא 14,67.7,23/12/2009,"513,000 ₪",11194-336-4,דירה בבית קומות,3,שניה,1970,"11,791 ₪",8
חביבה 13,103,15/10/2019,"1,590,000 ₪",11196-5-60,דירה בבית קומות,4,שמינית,2017,"15,437 ₪",9
ללא כתובת,125,10/10/2019,"1,675,000 ₪",11196-12-51,דירה בבית קומות,5,לא ידוע,0,"13,400 ₪",0
ברנר 9,53.57,06/10/2019,"880,000 ₪",11194-288-2,דירה בבית קומות,3,שניה,1960,"16,427 ₪",6
גורדון 19,85,04/10/2019,"700,000 ₪",11200-113-2,דירה בבית קומות,3,שניה,1950,"8,235 ₪",2
ללא כתובת,110,26/09/2019,"1,525,000 ₪",11196-11-26,דירה בבית קומות,4.5,שניה,0,"13,864 ₪",0
זלמן שניאור 3,78,26/09/2019,"1,270,000 ₪",11196-26-16,דירה בבית קומות,3,רביעית,2018,"16,282 ₪",6
ללא כתובת,117,26/09/2019,"565,000 ₪",11196-12-1,דירה,5,לא ידוע,0,"4,829 ₪",0
זלמן שניאור 17,101,26/09/2019,"1,542,000 ₪",11194-139-6,דירה בבית קומות,4,שמינית,1960,"15,267 ₪",3
ללא כתובת,70,26/09/2019,"1,165,000 ₪",11200-320-4,דירה בבית קומות,3,שניה,0,"16,643 ₪",0
ללא כתובת,119,25/09/2019,"1,700,000 ₪",11196-12-52,דירה בבית קומות,5,לא ידוע,0,"14,286 ₪",0
חביבה 39,80,25/09/2019,"1,190,000 ₪",11194-255-13,דירה בבית קומות,4,קרקע,2014,"14,875 ₪",2
פיכמן 16,45.5,23/09/2019,"925,000 ₪",11196-18-21,דירה בבית קומות,3,שניה,1960,"20,556 ₪",3
פיכמן 16,45.5,12/11/2010,"550,000 ₪",11196-18-21,דירה בבית קומות,3,שניה,1960,"20,556 ₪",3
פיכמן 16,45.5,20/06/2008,"388,000 ₪",11196-18-21,דירה בבית קומות,3,שניה,1960,"20,556 ₪",3
פיכמן 16,45.5,05/02/2008,"310,000 ₪",11196-18-21,דירה בבית קומות,3,שניה,1960,"20,556 ₪",3
ללא כתובת,161,23/09/2019,"2,610,000 ₪",11196-12-53,דירה בבית קומות,6,עשירית,0,"16,211 ₪",0
ללא כתובת,75,19/09/2019,"1,070,000 ₪",11200-320-5,דירה בבית קומות,4,חמישית,0,"14,267 ₪",0
חנקין 8,52,17/09/2019,"1,090,000 ₪",11200-120-4,דירה בבית קומות,2,שניה,1950,"20,962 ₪",2
חביבה 15,70,12/09/2019,"595,000 ₪",11196-5-59,דירה בבית קומות,3,רביעית,2017,"8,500 ₪",9
ברנר 12,90,09/09/2019,"1,200,000 ₪",11194-292-14,דירה בבית קומות,4,ראשונה,1960,"13,333 ₪",3
דובנוב 6,60.3,03/09/2019,"1,000,000 ₪",11196-86-2,דירה בבית קומות,3,ראשונה,1970,"16,667 ₪",4
דובנוב 6,60.3,10/05/2004,"491,000 ₪",11196-86-2,דירה בבית קומות,3,ראשונה,1970,"16,667 ₪",4
חביבה 53,69.72,01/09/2019,"850,000 ₪",11196-67-23,דירה בבית קומות,3,שישית,1970,"12,192 ₪",7
חביבה 13,98,27/08/2019,"1,550,000 ₪",11196-5-58,דירה בבית קומות,4,לא ידוע,2017,"15,816 ₪",9
חביבה 38,103,27/08/2019,"1,350,000 ₪",11194-253-66,דירה בבית קומות,4,ראשונה,2017,"13,107 ₪",10
יהודה בורלא 11,62.7,26/08/2019,"840,000 ₪",11194-348-20,דירה בבית קומות,3,שישית,1970,"13,548 ₪",8
יהודה בורלא 11,62.7,09/12/1998,"570,000 ₪",11194-348-20,דירה בבית קומות,3,שישית,1970,"13,548 ₪",8
ברנר 3,41.02,26/08/2019,"630,000 ₪",11194-286-27,דירה בבית קומות,2,שביעית,1960,"15,358 ₪",8
חביבה 68,81,22/08/2019,"1,115,000 ₪",11196-13-57,דירה בבית קומות,3,שלישית,2015,"13,765 ₪",0
יחזקאל 7,85,22/08/2019,"1,320,000 ₪",11196-6-83,דירה בבית קומות,3,שמינית,2017,"15,529 ₪",8
זלמן שניאור 1,108,22/08/2019,"1,525,000 ₪",11196-26-15,דירה בבית קומות,5,חמישית,2018,"14,120 ₪",6
יחזקאל 7,86,21/08/2019,"1,320,000 ₪",11196-6-82,דירה,3,לא ידוע,2017,"15,349 ₪",8
יהודה בורלא 10,67.7,13/08/2019,"800,000 ₪",11194-334-5,דירה בבית קומות,3,שניה,1970,"11,940 ₪",8
יהודה בורלא 10,67.7,13/07/2009,"435,000 ₪",11194-334-5,דירה בבית קומות,3,שניה,1970,"11,940 ₪",8
חביבה 40,100,06/08/2019,"1,400,000 ₪",11194-253-65,דירה בבית קומות,4,לא ידוע,2017,"14,000 ₪",10
חביבה 40,100,05/08/2019,"1,300,000 ₪",11194-253-64,דירה בבית קומות,4,שניה,2017,"13,000 ₪",10
יהודה בורלא 11,62.7,31/07/2019,"950,000 ₪",11194-348-19,דירה בבית קומות,3,שישית,1970,"15,323 ₪",8
יהודה בורלא 11,62.7,26/11/2001,"448,000 ₪",11194-348-19,דירה בבית קומות,3,שישית,1970,"15,323 ₪",8
דובנוב 1,62,31/07/2019,"920,000 ₪",11196-77-8,דירה בבית קומות,3,שניה,1960,"14,839 ₪",7
דובנוב 1,62,23/05/2011,"664,000 ₪",11196-77-8,דירה בבית קומות,3,שניה,1960,"14,839 ₪",7
דובנוב 1,62,26/02/2009,"420,000 ₪",11196-77-8,דירה בבית קומות,3,שניה,1960,"14,839 ₪",7
יחזקאל 7,86,31/07/2019,"1,340,000 ₪",11196-6-81,דירה,4,חמישית,2017,"15,581 ₪",8
חביבה 13,98,30/07/2019,"1,510,000 ₪",11196-5-57,דירה בבית קומות,4,שישית,2017,"15,408 ₪",9
חביבה 17,62,25/07/2019,"1,225,000 ₪",11196-5-56,דירה בבית קומות,3,שלישית,2017,"19,758 ₪",9
יהודה בורלא 24,63.1,24/07/2019,"925,000 ₪",11194-330-26,דירה בבית קומות,3,שישית,1970,"14,683 ₪",6
יהודה בורלא 24,63.1,14/10/2012,"600,000 ₪",11194-330-26,דירה בבית קומות,3,שישית,1970,"14,683 ₪",6
ללא כתובת,112,23/07/2019,"1,330,000 ₪",11196-10-26,דירה בבית קומות,4.5,שישית,0,"11,875 ₪",0
יחזקאל 3,187,21/07/2019,"2,060,000 ₪",11200-193-5,דירה בבית קומות,8,ראשונה,1950,"11,016 ₪",2
פיכמן 16,45.5,18/07/2019,"850,000 ₪",11196-18-18,דירה בבית קומות,3,קרקע,1960,"18,889 ₪",3
פיכמן 16,45.5,19/05/2004,"424,000 ₪",11196-18-18,דירה בבית קומות,3,קרקע,1960,"18,889 ₪",3
חביבה 40,119,16/07/2019,"1,500,000 ₪",11194-253-63,דירה בבית קומות,5,שביעית,2017,"12,605 ₪",10
דובנוב 7,61.4,15/07/2019,"523,000 ₪",11196-80-1,דירה בבית קומות,3,קרקע,1960,"8,518 ₪",6
אינרנשויונל 36,39,11/07/2019,"810,000 ₪",11196-22-14,דירה בבית קומות,2.5,שלישית,1960,"20,769 ₪",4
אינרנשויונל 36,39,02/12/2010,"485,000 ₪",11196-22-14,דירה בבית קומות,2.5,שלישית,1960,"20,769 ₪",4
