כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,63,30/04/2013,"760,000 ₪",10925-208-57,דירה,3,לא ידוע,0,"12,063 ₪",0
ללא כתובת,63,29/04/2013,"720,000 ₪",10925-208-56,דירה,3,לא ידוע,0,"11,429 ₪",0
ללא כתובת,63,28/04/2013,"750,000 ₪",10925-208-55,דירת גן,3,לא ידוע,0,"11,905 ₪",0
נווה גנים 19,60.2,28/04/2013,"750,000 ₪",10925-253-82,דירה בבית קומות,3,מרתף -1,2012,"12,458 ₪",10
תענך 4,49.9,28/04/2013,"300,000 ₪",11212-21-41,דירה בבית קומות,3,חמישית,1960,"6,012 ₪",7
ללא כתובת,63,24/04/2013,"610,000 ₪",10925-208-54,דירה,3,לא ידוע,0,"9,683 ₪",0
בשור 122,87,15/04/2013,"560,000 ₪",11213-29-9,דירה בבית קומות,4,שלישית,1970,"6,437 ₪",7
נווה גנים 21,81.3,11/04/2013,"890,000 ₪",10925-253-41,דירה בבית קומות,4,מרתף -1,2009,"10,947 ₪",10
תענך 18,65,07/04/2013,"450,000 ₪",11212-24-9,דירה בבית קומות,3,קרקע,1960,"6,923 ₪",6
תענך 18,65,16/12/2009,"360,000 ₪",11212-24-9,דירה בבית קומות,3,קרקע,1960,"6,923 ₪",6
נווה גנים 19,56,24/03/2013,"690,000 ₪",10925-253-85,דירה בבית קומות,3,קומה 1,2012,"12,321 ₪",10
ללא כתובת,66,23/03/2013,"690,000 ₪",10925-208-53,דירה,3,לא ידוע,0,"10,455 ₪",0
נווה גנים 12,79.93,21/03/2013,"788,000 ₪",10925-214-6,דירה בבית קומות,4,שלישית,2012,"9,859 ₪",12
ללא כתובת,66,21/03/2013,"650,000 ₪",10925-208-52,דירה,3,לא ידוע,0,"9,848 ₪",0
נווה גנים 19,60,21/03/2013,"650,000 ₪",10925-253-83,דירה בבית קומות,3,קומה 0,2012,"10,833 ₪",10
ללא כתובת,66,19/03/2013,"720,000 ₪",10925-208-51,דירה,3,לא ידוע,0,"10,909 ₪",0
נווה גנים 19,61.3,19/03/2013,"720,000 ₪",10925-253-105,דירה בבית קומות,3,קומה 7,2012,"11,746 ₪",10
ללא כתובת,63,18/03/2013,"669,000 ₪",10925-208-49,דירה,3,לא ידוע,0,"10,619 ₪",0
ללא כתובת,65,18/03/2013,"680,000 ₪",10925-208-50,דירה,3,לא ידוע,0,"10,462 ₪",0
נווה גנים 19,63,18/03/2013,"680,000 ₪",10925-253-87,דירה בבית קומות,3,קומה 1,2012,"10,794 ₪",10
נווה גנים 21,79.8,06/03/2013,"770,000 ₪",10925-253-66,דירה בבית קומות,4,קומה 6,2009,"9,747 ₪",10
נווה גנים 21,79.8,12/11/2009,"543,000 ₪",10925-253-66,דירה בבית קומות,4,קומה 6,2009,"9,747 ₪",10
התשעה 13,42.18,28/02/2013,"345,000 ₪",11213-88-13,דירה בבית קומות,2,שניה,1970,"8,214 ₪",4
התשעה 13,42.18,18/01/2013,"273,000 ₪",11213-88-13,דירה בבית קומות,2,שניה,1970,"8,214 ₪",4
בשור 122,73,20/02/2013,"390,000 ₪",11213-29-8,דירה בבית קומות,3,שביעית,1970,"5,342 ₪",7
הרב משאש 7,70,19/02/2013,"425,000 ₪",10925-189-23,דירה בבית קומות,3,ראשונה,1970,"6,071 ₪",8
יד לבנים 125,63.1,14/02/2013,"691,000 ₪",10878-61-22,דירה בבית קומות,3,שביעית,1996,"10,968 ₪",13
יד לבנים 125,63.1,19/12/2004,"460,000 ₪",10878-61-22,דירה בבית קומות,3,שביעית,1996,"10,968 ₪",13
תענך 17,32.1,05/02/2013,"316,000 ₪",11212-29-46,דירה בבית קומות,3,שלישית,1960,"9,844 ₪",4
נווה גנים 19,79.6,29/01/2013,"740,000 ₪",10925-253-12,דירה בבית קומות,4,קומה 2,2012,"9,296 ₪",10
נווה גנים 19,79.1,14/01/2013,"710,000 ₪",10925-253-3,דירה בבית קומות,4,קומה 0,2012,"8,987 ₪",10
נווה גנים 19,79.1,29/03/2011,"900,000 ₪",10925-253-3,דירה בבית קומות,4,קומה 0,2012,"8,987 ₪",10
הרב משאש 7,75,30/12/2012,"390,000 ₪",10925-189-22,דירה בבית קומות,3,שלישית,1970,"5,200 ₪",8
הרב משאש 3,75,28/12/2012,"415,000 ₪",10925-189-21,דירה בבית קומות,4,שניה,1970,"5,533 ₪",8
הרב משאש 7,73,27/12/2012,"365,000 ₪",10925-189-20,דירה בבית קומות,3,שמינית,1970,"5,000 ₪",8
נווה גנים 9,87.7,27/12/2012,"800,000 ₪",10925-202-14,דירה בבית קומות,5,חמישית,2009,"9,122 ₪",6
נווה גנים 9,87.6,19/12/2012,"760,000 ₪",10925-202-4,דירה בבית קומות,5,ראשונה,2009,"8,736 ₪",6
נווה גנים 9,87.6,16/06/2009,"630,000 ₪",10925-202-4,דירה בבית קומות,5,ראשונה,2009,"8,736 ₪",6
