כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אלברט שוויצר 29,156.21,18/04/1999,"1,510,000 ₪",10793-79-5,דירה בבית קומות,5,שלישית,1990,"16,090 ₪",3
גאולי תימן 5,147.29,16/08/2017,"2,965,000 ₪",10794-139-1,דירת גן,6,קרקע ראשונה ושניה,1988,"20,130 ₪",1
פרויד 12,119.09,26/07/2017,"1,550,000 ₪",10785-73-10,דירה בבית קומות,4,שלישית,1970,"13,015 ₪",6
ראול ולנברג 23,180,29/05/2017,"2,080,000 ₪",10792-199-1,דירה בבית קומות,5,לא ידוע,1989,"11,556 ₪",0
פרויד 14,115.32,28/05/2017,"2,180,000 ₪",10785-72-10,דירה בבית קומות,5,רביעית,1970,"18,904 ₪",6
פרויד 12,77.26,23/05/2017,"1,200,000 ₪",10785-73-15,דירה בבית קומות,3,רביעית,1970,"15,532 ₪",6
מארק שאגאל 7,164.6,18/05/2017,"2,150,000 ₪",10794-87-5,דירה בבית קומות,6,שניה ושלישית,1989,"13,062 ₪",4
פרויד 40,232.78,04/05/2017,"2,450,000 ₪",10794-17-8,דירה בבית קומות,5,חמישית וששית,1980,"10,525 ₪",5
ללא כתובת,75,03/05/2017,"1,200,000 ₪",10794-15-2,דירה בבית קומות,3,שמינית,0,"16,000 ₪",0
מארק שאגאל 9,114.72,20/04/2017,"2,149,000 ₪",10794-88-1,דירה בבית קומות,6,קרקע,1990,"18,733 ₪",4
ללא כתובת,90,18/04/2017,"1,360,000 ₪",10794-15-3,דירה בבית קומות,5,חמישית,0,"15,111 ₪",0
סירני 7,90,03/04/2017,"1,700,000 ₪",10792-175-1,דירה בבית קומות,4,ראשונה,1985,"18,889 ₪",1
גאולי תימן 5,148.69,31/03/2017,"3,000,000 ₪",10794-139-7,דירה בבית קומות,5,קרקע ראשונה ושניה,1988,"20,176 ₪",1
אלברט שוויצר 19,153,06/02/2017,"1,820,000 ₪",10794-125-3,דירה בבית קומות,6,שלישית,1973,"11,895 ₪",2
ראול ולנברג 12,110.3,06/02/2017,"1,930,000 ₪",10794-131-5,דירה בבית קומות,5,שלישית,1993,"17,498 ₪",3
אלברט שוויצר 53,80,10/01/2017,"1,080,000 ₪",10792-157-1,דירה בבית קומות,3,שניה,1980,"13,500 ₪",1
סירני 10,139,29/11/2016,"2,900,000 ₪",10792-185-1,דירה בבית קומות,5,לא ידוע,1989,"20,863 ₪",0
אלברט שוויצר 19,150,28/11/2016,"2,000,000 ₪",10794-125-2,דירה בבית קומות,5,ראשונה,1973,"13,333 ₪",2
אלברט שוויצר 50,196.35,20/11/2016,"2,410,000 ₪",10792-133-2,דירה בבית קומות,7,"מרתף, קרקע, ראשונה, שניה",1989,"12,274 ₪",0
מארק שאגאל 17,174,16/11/2016,"3,000,000 ₪",10794-92-8,דירה בבית קומות,7,"רביעית, חמישית",1989,"17,241 ₪",3
