כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
בלום לאון 2,80.7,02/02/2009,"465,000 ₪",10870-23-101,דירה בבית קומות,3.5,שביעית,1960,"5,762 ₪",11
לאון בלום 28,58,28/01/2009,"342,000 ₪",10870-40-223,דירה בבית קומות,2,רביעית,1970,"5,897 ₪",19
לאון בלום 8,67.14,21/12/2008,"380,000 ₪",10870-34-152,דירה בבית קומות,4,שביעית,1960,"5,660 ₪",11
חנה סנש 20,101,02/12/2008,"800,000 ₪",10870-80-31,דירה בבית קומות,4,שישית,1994,"7,921 ₪",18
וינגייט 27,52,30/11/2008,"430,000 ₪",10809-221-2,דירה בבית קומות,2.5,ראשונה,0,"8,269 ₪",0
בלום לאון 2,38.47,03/11/2008,"310,000 ₪",10870-23-41,דירה בבית קומות,2,שלישית,1960,"8,058 ₪",11
לאון בלום 8,61.16,06/10/2008,"410,000 ₪",10870-34-92,דירה בבית קומות,3.5,חמישית,1960,"6,704 ₪",11
חנה סנש 20,120,21/09/2008,"795,000 ₪",10870-80-29,דירה בבית קומות,4.5,שמינית,1994,"6,625 ₪",18
לאון בלום 28,58,14/09/2008,"280,000 ₪",10870-40-240,דירה בבית קומות,2,עשירית,1970,"4,828 ₪",19
לאון בלום 8,61.16,09/09/2008,"350,000 ₪",10870-34-138,דירה בבית קומות,3,שביעית,1960,"5,723 ₪",11
לאון בלום 8,65.18,08/09/2008,"378,000 ₪",10870-34-50,דירה בבית קומות,3,שלישית,1960,"5,799 ₪",11
לאון בלום 28,100,02/09/2008,"530,000 ₪",10870-40-304,דירה בבית קומות,4,עשירית,1970,"5,300 ₪",19
בלום לאון 2,79.7,17/08/2008,"753,000 ₪",10870-23-130,דירה בבית קומות,4,עשירית,1960,"9,448 ₪",11
בלום לאון 2,79.7,14/08/2008,"380,000 ₪",10870-23-98,דירה בבית קומות,4,שמינית,1960,"4,768 ₪",11
לאון בלום 8,44.94,13/08/2008,"115,000 ₪",10870-34-17,דירה בבית קומות,2.5,ראשונה,1960,"2,559 ₪",11
לאון בלום 28,97,05/08/2008,"500,000 ₪",10870-40-131,דירה בבית קומות,5,רביעית,1970,"5,155 ₪",19
חנה סנש 22,105.4,24/07/2008,"790,000 ₪",10870-80-79,דירה בבית קומות,4,חמישית,1990,"7,495 ₪",16
לאון בלום 28,91,21/07/2008,"500,000 ₪",10870-40-300,דירה בבית קומות,3.5,שמינית,1970,"5,495 ₪",19
