כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
הרב קניאל 11,83.1,13/11/2017,"800,000 ₪",10870-98-43,דירה בבית קומות,4,שביעית,1970,"9,627 ₪",22
הרב קניאל 11,67.8,09/11/2017,"765,000 ₪",10870-98-89,דירה בבית קומות,3,חמש עשרה,1970,"11,283 ₪",22
אהבת ישראל 6,130,08/11/2017,"1,150,000 ₪",11188-1-10,דירה בבית קומות,6,רביעית,2000,"8,846 ₪",8
הרב קניאל 11,70.7,26/10/2017,"720,000 ₪",10870-98-75,דירה בבית קומות,3,שלוש עשרה,1970,"10,184 ₪",22
ללא כתובת,70,13/09/2017,"860,000 ₪",10867-3-52,דירה בבית קומות,3,שישית,0,"12,286 ₪",0
ללא כתובת,46.75,13/09/2017,"800,000 ₪",10867-170-6,דירה בבית קומות,3,שלישית,0,"17,391 ₪",0
ללא כתובת,46.75,01/09/2000,"260,000 ₪",10867-170-6,דירה בבית קומות,3,שלישית,0,"17,391 ₪",0
אהבת ישראל 14,93.62,28/08/2017,"1,100,000 ₪",11188-130-15,דירה בבית קומות,4,שביעית,2010,"11,750 ₪",8
מיכאל 41,51.44,22/08/2017,"808,000 ₪",10907-37-9,דירה בבית קומות,3,שניה,1950,"15,843 ₪",2
מיכאל 41,51.44,26/11/2015,"740,000 ₪",10907-37-9,דירה בבית קומות,3,שניה,1950,"15,843 ₪",2
מיכאל 41,51.44,02/01/2007,"171,000 ₪",10907-37-9,דירה בבית קומות,3,שניה,1950,"15,843 ₪",2
ללא כתובת,94,17/08/2017,"877,000 ₪",10867-3-53,דירה בבית קומות,3,שניה,0,"9,330 ₪",0
ללא כתובת,93,16/08/2017,"995,000 ₪",10867-3-44,דירה,4,לא ידוע,0,"10,699 ₪",0
ללא כתובת,77,09/08/2017,"880,000 ₪",10867-3-55,דירה בבית קומות,3,שישית,0,"11,429 ₪",0
מקור ברוך 3,51.7,09/08/2017,"800,000 ₪",11188-77-28,דירה בבית קומות,3,שניה,1950,"15,686 ₪",2
מקור ברוך 3,51.7,14/07/2015,"715,000 ₪",11188-77-28,דירה בבית קומות,3,שניה,1950,"15,686 ₪",2
ללא כתובת,76,09/08/2017,"880,000 ₪",10867-5-1,דירה,3,לא ידוע,0,"11,579 ₪",0
הרב קניאל 1,89,08/08/2017,"1,175,000 ₪",10870-99-9,דירה בבית קומות,4,שניה,1970,"13,202 ₪",4
ללא כתובת,76,07/08/2017,"860,000 ₪",10867-3-56,דירה בבית קומות,3,שישית,0,"11,316 ₪",0
מיכאל 41,43.4,23/07/2017,"191,000 ₪",10907-37-3,מחסנים,לא ידוע,מרתף,1950,"4,401 ₪",2
ללא כתובת,76,19/07/2017,"880,000 ₪",10867-3-57,דירה בבית קומות,3,רביעית,0,"11,579 ₪",0
"האר""י 18",75.3,09/07/2017,"825,000 ₪",11188-116-23,דירה בבית קומות,3,שלישית,1960,"11,000 ₪",3
"האר""י 18",75.3,12/07/2015,"670,000 ₪",11188-116-23,דירה בבית קומות,3,שלישית,1960,"11,000 ₪",3
ללא כתובת,77,03/07/2017,"880,000 ₪",10867-3-58,דירה בבית קומות,3,ראשונה,0,"11,429 ₪",0
ללא כתובת,76,21/06/2017,"865,000 ₪",10867-3-42,דירה,3,לא ידוע,0,"11,382 ₪",0
ללא כתובת,76,20/06/2017,"865,000 ₪",10867-3-41,דירה,3,לא ידוע,0,"11,382 ₪",0
ללא כתובת,77,19/06/2017,"850,000 ₪",10867-3-59,דירה בבית קומות,3,ראשונה,0,"11,039 ₪",0
ללא כתובת,77,18/06/2017,"860,000 ₪",10867-3-61,דירה בבית קומות,3,חמישית,0,"11,169 ₪",0
ללא כתובת,94,12/06/2017,"935,000 ₪",10867-3-65,דירה בבית קומות,4,שישית,0,"9,947 ₪",0
ללא כתובת,77,08/06/2017,"855,000 ₪",10867-3-66,דירה בבית קומות,3,רביעית,0,"11,104 ₪",0
ללא כתובת,76,06/06/2017,"850,000 ₪",10867-3-70,דירה בבית קומות,3,רביעית,0,"11,184 ₪",0
ללא כתובת,77,05/06/2017,"855,000 ₪",10867-3-71,דירה בבית קומות,3,שניה,0,"11,104 ₪",0
ללא כתובת,77,04/06/2017,"850,000 ₪",10867-3-72,דירה בבית קומות,3,רביעית,0,"11,039 ₪",0
ללא כתובת,76,01/06/2017,"855,000 ₪",10867-3-39,דירה,3,לא ידוע,0,"11,250 ₪",0
ללא כתובת,76,01/06/2017,"865,000 ₪",10867-3-40,דירה,3,לא ידוע,0,"11,382 ₪",0
ללא כתובת,94,01/06/2017,"870,000 ₪",10867-3-76,דירה בבית קומות,3,שניה,0,"9,255 ₪",0
ללא כתובת,76,29/05/2017,"850,000 ₪",10867-3-34,דירה,3,לא ידוע,0,"11,184 ₪",0
ללא כתובת,76,29/05/2017,"900,000 ₪",10867-3-38,דירה,3,לא ידוע,0,"11,842 ₪",0
ללא כתובת,77,29/05/2017,"855,000 ₪",10867-3-81,דירה בבית קומות,3,שניה,0,"11,104 ₪",0
ללא כתובת,94,21/05/2017,"975,000 ₪",10867-3-33,דירה,4,לא ידוע,0,"10,372 ₪",0
ללא כתובת,76,17/05/2017,"900,000 ₪",10867-3-31,דירה,3,לא ידוע,0,"11,842 ₪",0
ללא כתובת,94,17/05/2017,"960,000 ₪",10867-3-32,דירה,4,לא ידוע,0,"10,213 ₪",0
ללא כתובת,94,11/05/2017,"960,000 ₪",10867-3-89,דירה בבית קומות,4,שישית,0,"10,213 ₪",0
ללא כתובת,77,10/05/2017,"985,000 ₪",10867-3-90,דירה בבית קומות,3,לא ידוע,0,"12,792 ₪",0
ללא כתובת,94,27/04/2017,"975,000 ₪",10867-3-91,דירה בבית קומות,4,ראשונה,0,"10,372 ₪",0
הרב קניאל 11,67.8,20/04/2017,"740,000 ₪",10870-98-30,דירה בבית קומות,3,חמישית,1970,"10,914 ₪",22
"האר""י 24",75.5,20/04/2017,"850,000 ₪",11188-121-21,דירה בבית קומות,3,שלישית,1970,"11,333 ₪",5
"האר""י 24",75.5,17/01/2007,"355,000 ₪",11188-121-21,דירה בבית קומות,3,שלישית,1970,"11,333 ₪",5
ללא כתובת,76,30/03/2017,"990,000 ₪",10867-3-92,דירה בבית קומות,3,לא ידוע,0,"13,026 ₪",0
ללא כתובת,76,28/03/2017,"890,000 ₪",10867-3-93,דירה בבית קומות,3,לא ידוע,0,"11,711 ₪",0
הרב קניאל 11,83.1,26/02/2017,"1,055,000 ₪",10870-98-127,דירה בבית קומות,4,עשרים ואחת,1970,"12,696 ₪",22
ללא כתובת,94,21/02/2017,"965,000 ₪",10867-3-94,דירה בבית קומות,4,רביעית,0,"10,266 ₪",0
ללא כתובת,76,20/02/2017,"890,000 ₪",10867-3-95,דירה בבית קומות,3,ראשונה,0,"11,711 ₪",0
ללא כתובת,76,02/02/2017,"875,000 ₪",10867-3-23,דירה,3,לא ידוע,0,"11,513 ₪",0
ללא כתובת,70,01/02/2017,"875,000 ₪",10867-3-96,דירה בבית קומות,3,רביעית,0,"12,500 ₪",0
ללא כתובת,93,30/01/2017,"970,000 ₪",10867-3-22,דירה,4,לא ידוע,0,"10,430 ₪",0
