כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אילת 6,91.17,13/05/2021,"1,160,000 ₪",11211-68-6,דירה בבית קומות,4,שלישית,1970,"12,747 ₪",3
אילת 6,91.17,01/06/2005,"627,000 ₪",11211-68-6,דירה בבית קומות,4,שלישית,1970,"12,747 ₪",3
לייב שמעוני 3,55.38,12/05/2021,"400,000 ₪",12448-13-20,דירה בבית קומות,3,שניה,1960,"7,223 ₪",5
התיכון 22,70,12/05/2021,"1,170,000 ₪",12463-5-3,דירה בבית קומות,4,שניה,1970,"16,714 ₪",3
התיכון 22,70,31/08/2009,"650,000 ₪",12463-5-3,דירה בבית קומות,4,שניה,1970,"16,714 ₪",3
התיכון 22,70,13/02/1998,"737,000 ₪",12463-5-3,דירה בבית קומות,4,שניה,1970,"16,714 ₪",3
נחמיה 12,80.5,11/05/2021,"1,235,000 ₪",10882-36-4,דירה בבית קומות,4,שניה,1940,"15,438 ₪",2
נחמיה 12,80.5,10/08/2009,"670,000 ₪",10882-36-4,דירה בבית קומות,4,שניה,1940,"15,438 ₪",2
מימון 40,36.9,11/05/2021,"500,000 ₪",12447-2-4,דירה בבית קומות,2,שלישית,1960,"13,550 ₪",6
התיכון 34,25.55,06/05/2021,"610,000 ₪",12465-6-10,דירה בבית קומות,2,ראשונה,1950,"24,400 ₪",2
התיכון 34,25.55,19/04/2016,"550,000 ₪",12465-6-10,דירה בבית קומות,2,ראשונה,1950,"24,400 ₪",2
חיים בר לב 15,67.2,05/05/2021,"950,000 ₪",11213-114-3,דירה בבית קומות,3,ראשונה,1970,"14,179 ₪",5
חיים בר לב 15,67.2,24/02/2014,"800,000 ₪",11213-114-3,דירה בבית קומות,3,ראשונה,1970,"14,179 ₪",5
הבריכה 4,50.7,04/05/2021,"1,055,000 ₪",10882-50-4,דירה בבית קומות,3,ראשונה,1950,"21,100 ₪",1
הבריכה 4,50.7,29/11/1998,"576,000 ₪",10882-50-4,דירה בבית קומות,3,ראשונה,1950,"21,100 ₪",1
יעקב חזן 13,92.49,03/05/2021,"1,300,000 ₪",11213-108-19,דירה בבית קומות,4,ראשונה,1997,"14,056 ₪",5
שאול 24,71,03/05/2021,"1,070,000 ₪",10882-159-5,דירה בבית קומות,3,שניה,1960,"15,070 ₪",2
ללא כתובת,75.7,02/05/2021,"1,500,000 ₪",10882-75-2,דירה בבית קומות,4,קרקע,0,"19,815 ₪",0
חן 53,85,29/04/2021,"965,000 ₪",10878-49-3,דירה בבית קומות,4,ראשונה,1969,"11,353 ₪",3
חניתה 9,87.7,29/04/2021,"1,050,000 ₪",11211-71-5,דירה בבית קומות,4,שניה,1960,"11,973 ₪",2
חן 2,52.41,29/04/2021,"1,090,000 ₪",11211-29-32,דירה בבית קומות,3,רביעית,1960,"20,962 ₪",4
חן 2,52.41,10/10/2018,"885,000 ₪",11211-29-32,דירה בבית קומות,3,רביעית,1960,"20,962 ₪",4
חן 2,52.41,27/02/2002,"417,000 ₪",11211-29-32,דירה בבית קומות,3,רביעית,1960,"20,962 ₪",4
חיים בר לב 21,67.2,26/04/2021,"1,100,000 ₪",11213-117-5,דירה בבית קומות,3,שניה,1996,"16,369 ₪",5
התיכון 68,59.3,25/04/2021,"955,000 ₪",10882-113-7,דירה בבית קומות,3,קרקע,1960,"16,105 ₪",2
הגליל 68,70,23/04/2021,"1,425,000 ₪",10882-55-5,דירה בבית קומות,4,שניה,1960,"20,357 ₪",3
חן 71,82.3,21/04/2021,"1,000,000 ₪",10878-68-16,דירת גן,4,ראשונה,1980,"12,195 ₪",7
חן 71,82.3,19/05/2009,"460,000 ₪",10878-68-16,דירת גן,4,ראשונה,1980,"12,195 ₪",7
הגליל 92,64.32,13/04/2021,"1,080,000 ₪",10882-37-9,דירה בבית קומות,3,-,1958,"16,791 ₪",3
חניתה 79,21.8,13/04/2021,"600,000 ₪",10882-169-2,חנות,לא ידוע,קרקע,1960,"27,523 ₪",2
חניתה 79,76.2,11/04/2021,"1,050,000 ₪",10882-169-5,דירה בבית קומות,3,ראשונה,1960,"13,816 ₪",2
חניתה 79,76.2,01/02/2011,"850,000 ₪",10882-169-5,דירה בבית קומות,3,ראשונה,1960,"13,816 ₪",2
מימון 20,54,07/04/2021,"825,000 ₪",10892-58-9,דירה בבית קומות,3,רביעית,1960,"15,278 ₪",5
מימון 20,54,15/02/2012,"610,000 ₪",10892-58-9,דירה בבית קומות,3,רביעית,1960,"15,278 ₪",5
מימון 20,54,30/03/2007,"500,000 ₪",10892-58-9,דירה בבית קומות,3,רביעית,1960,"15,278 ₪",5
מימון 20,54,16/08/2006,"323,000 ₪",10892-58-9,דירה בבית קומות,3,רביעית,1960,"15,278 ₪",5
מימון 20,54,07/03/2006,"400,000 ₪",10892-58-9,דירה בבית קומות,3,רביעית,1960,"15,278 ₪",5
הגליל 27,77.22,07/04/2021,"1,200,000 ₪",11211-44-10,דירה בבית קומות,4,ראשונה,1960,"15,540 ₪",2
גדליהו 31,70.4,01/04/2021,"815,000 ₪",10893-4-4,דירה בבית קומות,3,ראשונה,1960,"11,577 ₪",6
