כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אבא חושי 149,101.7,29/11/2012,"2,025,000 ₪",12286-180-162,דירה בבית קומות,4,ארבע עשרה,2013,"19,307 ₪",19
הזז חיים 5,115.85,10/01/2017,"1,550,000 ₪",11203-35-15,דירה בבית קומות,4,שביעית,1995,"13,478 ₪",9
הזז חיים 5,115.85,08/06/2016,"1,250,000 ₪",11203-35-15,דירה בבית קומות,4,שביעית,1995,"13,478 ₪",9
אוסקר שינדלר 6,83.65,08/01/2017,"715,000 ₪",12286-180-16,דירה בבית קומות,3,שלישית,2010,"8,548 ₪",20
מנדל זינגר 13,117.02,05/01/2017,"2,100,000 ₪",11203-42-7,דירה בבית קומות,5,שלישית,2000,"17,949 ₪",12
מנדל זינגר 13,117.02,05/11/2001,"1,158,000 ₪",11203-42-7,דירה בבית קומות,5,שלישית,2000,"17,949 ₪",12
מנדל זינגר 25,117,03/01/2017,"1,920,000 ₪",11203-38-63,דירה בבית קומות,4,אחת עשרה,2013,"16,410 ₪",13
מנדל זינגר 25,117,25/01/2015,"2,802,000 ₪",11203-38-63,דירה בבית קומות,4,אחת עשרה,2013,"16,410 ₪",13
אבא חושי 101,450,31/12/2016,"3,650,000 ₪",12264-202-1,משרד,לא ידוע,ראשונה,1980,"8,111 ₪",1
חיים הזז 1,101.37,19/12/2016,"1,320,000 ₪",11203-33-32,דירה בבית קומות,3.5,שמינית,1990,"13,069 ₪",8
חיים הזז 1,101.37,08/11/2001,"743,000 ₪",11203-33-32,דירה בבית קומות,3.5,שמינית,1990,"13,069 ₪",8
אוסקר שינדלר 6,175.95,13/12/2016,"2,888,000 ₪",12286-180-76,דירה בבית קומות,5,ארבע עשרה,2010,"16,414 ₪",20
אוסקר שינדלר 6,151.3,13/12/2016,"2,610,000 ₪",12286-180-35,דירה בבית קומות,5,שביעית,2010,"17,250 ₪",20
אוסקר שינדלר 6,149.6,25/11/2016,"2,470,000 ₪",12286-180-38,דירה בבית קומות,5,שביעית,2010,"16,577 ₪",20
אוסקר שינדלר 6,149.6,16/02/2014,"2,420,000 ₪",12286-180-38,דירה בבית קומות,5,שביעית,2010,"16,577 ₪",20
ללא כתובת,171,21/11/2016,"3,300,000 ₪",12286-79-309,דירה בבית קומות,5,תשע עשרה,0,"19,298 ₪",0
ללא כתובת,148,21/11/2016,"3,281,002 ₪",12286-79-268,דירה,5,לא ידוע,0,"22,169 ₪",0
יהושע גולברמן 11,89.4,02/11/2016,"2,015,000 ₪",12695-24-55,דירה בבית קומות,4,רביעית,2003,"22,640 ₪",10
יהושע גולברמן 11,89.4,13/12/2002,"1,170,000 ₪",12695-24-55,דירה בבית קומות,4,רביעית,2003,"22,640 ₪",10
אוסקר שינדלר 2,210.97,01/11/2016,"5,700,000 ₪",12286-191-72,דירה בבית קומות,5,קומה 16,2012,"27,018 ₪",17
אוסקר שינדלר 3,124,15/09/2016,"2,360,000 ₪",11203-67-58,דירה בבית קומות,5,ארבע עשרה,2013,"19,032 ₪",19
ללא כתובת,100,15/09/2016,"2,356,000 ₪",12286-79-311,דירה בבית קומות,4,שלוש עשרה,0,"23,560 ₪",0
ללא כתובת,121,15/09/2016,"2,353,000 ₪",12286-79-266,דירה,4,לא ידוע,0,"19,446 ₪",0
ללא כתובת,100,31/08/2016,"2,564,000 ₪",12286-79-312,דירה בבית קומות,4,חמש עשרה,0,"25,640 ₪",0
ללא כתובת,130,30/08/2016,"2,564,999 ₪",12286-79-265,דירה,4,לא ידוע,0,"19,731 ₪",0
יעקב אורלנד 14,102.3,12/08/2016,"1,950,000 ₪",12695-23-5,דירה בבית קומות,5,שניה,2004,"19,118 ₪",9
יעקב אורלנד 14,102.3,23/06/2010,"1,720,000 ₪",12695-23-5,דירה בבית קומות,5,שניה,2004,"19,118 ₪",9
יעקב אורלנד 14,102.3,03/10/2005,"1,052,000 ₪",12695-23-5,דירה בבית קומות,5,שניה,2004,"19,118 ₪",9
ללא כתובת,130,08/08/2016,"2,329,000 ₪",12286-79-314,דירה בבית קומות,4,תשיעית,0,"17,915 ₪",0
ללא כתובת,130,07/08/2016,"2,329,999 ₪",12286-79-263,דירה,4,לא ידוע,0,"17,923 ₪",0
ללא כתובת,130,04/08/2016,"2,618,499 ₪",12286-79-315,דירה בבית קומות,4,שבע עשרה,0,"20,142 ₪",0
מנדל זינגר 13,118.85,03/08/2016,"2,600,000 ₪",11203-42-43,דירה בבית קומות,5,אחת עשרה,2000,"21,876 ₪",12
ללא כתובת,120,02/08/2016,"2,343,000 ₪",12286-79-316,דירה בבית קומות,4,שש עשרה,0,"19,525 ₪",0
מנדל זינגר 20,78,26/07/2016,"1,430,000 ₪",11203-36-37,דירה בבית קומות,3,רביעית,2000,"18,333 ₪",11
מנדל זינגר 20,78,04/05/2012,"1,250,000 ₪",11203-36-37,דירה בבית קומות,3,רביעית,2000,"18,333 ₪",11
מנדל זינגר 20,78,09/09/2002,"794,000 ₪",11203-36-37,דירה בבית קומות,3,רביעית,2000,"18,333 ₪",11
יהושע גולברמן 7,90.8,26/07/2016,"1,800,000 ₪",12695-24-9,דירה בבית קומות,3.5,שלישית,2006,"20,000 ₪",10
יהושע גולברמן 7,90.8,25/08/2008,"1,150,000 ₪",12695-24-9,דירה בבית קומות,3.5,שלישית,2006,"20,000 ₪",10
יהושע גולברמן 7,90.8,11/11/2004,"1,134,000 ₪",12695-24-9,דירה בבית קומות,3.5,שלישית,2006,"20,000 ₪",10
מנדל זינגר 20,99,21/07/2016,"1,780,000 ₪",11203-36-27,דירה בבית קומות,4,עשירית,2000,"17,980 ₪",11
מנדל זינגר 20,99,28/07/2013,"1,500,000 ₪",11203-36-27,דירה בבית קומות,4,עשירית,2000,"17,980 ₪",11
אוסקר שינדלר 6,184.7,11/07/2016,"3,095,000 ₪",12286-180-77,דירה בבית קומות,5,ארבע עשרה,2010,"16,757 ₪",20
ללא כתובת,107,11/07/2016,"3,095,000 ₪",12286-79-260,דירה,5,לא ידוע,0,"28,925 ₪",0
אבא חושי 149,102.55,29/06/2016,"1,449,000 ₪",12286-180-93,דירה בבית קומות,3,ראשונה,2013,"14,130 ₪",19
