כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
קרן היסוד 52,84.05,20/07/2008,"590,000 ₪",11190-42-30,דירה בבית קומות,4,שמינית,1970,"5,417 ₪",8
קרן היסוד 52,84.05,29/04/2002,"662,000 ₪",11190-42-30,דירה בבית קומות,4,שמינית,1970,"5,417 ₪",8
קרן היסוד 52,69.8,19/11/2020,"959,500 ₪",11190-42-18,דירה בבית קומות,3,חמישית,1970,"13,746 ₪",8
הראל 1,82,19/11/2020,"940,000 ₪",11191-7-7,דירה בבית קומות,3,שניה,1970,"11,463 ₪",3
הראל 1,82,17/12/2012,"800,000 ₪",11191-7-7,דירה בבית קומות,3,שניה,1970,"11,463 ₪",3
"פלמ""ח 16",141,12/11/2020,"2,360,000 ₪",11191-90-11,דירה בבית קומות,5,ראשונה,1960,"16,738 ₪",3
משמר הגבול 6,73.55,02/11/2020,"1,550,000 ₪",11191-188-11,דירה בבית קומות,4,חמישית,1980,"21,074 ₪",6
קרן היסוד 25,104.87,22/10/2020,"1,630,000 ₪",11191-195-35,דירה בבית קומות,4,ראשונה,1980,"15,673 ₪",5
קרן היסוד 25,104.87,05/01/2005,"994,000 ₪",11191-195-35,דירה בבית קומות,4,ראשונה,1980,"15,673 ₪",5
קרן היסוד 46,69.8,15/10/2020,"977,000 ₪",11190-26-13,דירה בבית קומות,3,רביעית,1970,"14,159 ₪",8
קרן היסוד 46,69.8,16/05/2011,"777,000 ₪",11190-26-13,דירה בבית קומות,3,רביעית,1970,"14,159 ₪",8
חטיבת עודד 4,70,13/10/2020,"1,000,000 ₪",11191-35-1,דירה בבית קומות,3,שניה,1970,"14,286 ₪",2
"פלמ""ח 17",84.3,01/10/2020,"1,612,000 ₪",11191-75-6,דירה בבית קומות,5,שלישית,1960,"19,122 ₪",3
הצלפים 19,89.8,17/09/2020,"2,000,000 ₪",11191-100-1,דירה בבית קומות,5,ראשונה,1970,"22,472 ₪",3
הצלפים 19,89.8,09/07/2010,"980,000 ₪",11191-100-1,דירה בבית קומות,5,ראשונה,1970,"22,472 ₪",3
"פלמ""ח 51",145.8,14/09/2020,"2,180,000 ₪",11191-53-4,דירה בבית קומות,6,"קומה 1, קומה 2",2016,"14,952 ₪",3
הראל 3,102.05,27/08/2020,"1,530,000 ₪",11191-129-4,דירה בבית קומות,5,ראשונה,2000,"14,993 ₪",4
הצלפים 10,114,23/08/2020,"1,835,000 ₪",11191-115-2,דירה בבית קומות,5,ראשונה,1960,"16,096 ₪",3
הצלפים 10,114,19/10/2008,"770,000 ₪",11191-115-2,דירה בבית קומות,5,ראשונה,1960,"16,096 ₪",3
קרן היסוד 46,64.8,20/08/2020,"1,090,000 ₪",11190-26-32,דירה בבית קומות,3,שמינית,1970,"17,031 ₪",8
קרן היסוד 46,64.8,11/09/2002,"543,000 ₪",11190-26-32,דירה בבית קומות,3,שמינית,1970,"17,031 ₪",8
