כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
דוד רזיאל 60,56.88,29/01/2023,"975,000 ₪",12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,14/11/2014,"520,000 ₪",12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,29/01/2023,חלק נמכר,12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,מחיר,1,12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,50%,"487,500 ₪",12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,2,50%,12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
דוד רזיאל 60,56.88,"487,500 ₪","975,000 ₪",12483-14-2,דירה בבית קומות,3,קרקע,1960,"17,411 ₪",2
יד לבנים 92,93,23/01/2023,"274,000 ₪",11720-64-85,דירה בבית קומות,4,אחת עשרה,1999,"2,946 ₪",9
יד לבנים 178,80.4,17/01/2023,"260,000 ₪",12496-10-42,דירה בבית קומות,4,שישית,1970,"3,250 ₪",9
דוד רזיאל 44,60.35,12/01/2023,"820,000 ₪",12483-21-8,דירה בבית קומות,3,שלישית,1970,"13,587 ₪",3
פאר 16,601,05/01/2023,"1,800,000 ₪",12494-25-1,קרקע למגורים,לא ידוע,לא ידוע,0,"2,995 ₪",0
דוד רזיאל 57,92,04/01/2023,"375,000 ₪",12483-2-11,דירה בבית קומות,6,רביעית,1999,"4,076 ₪",8
דוד רזיאל 57,92,27/12/2011,"698,000 ₪",12483-2-11,דירה בבית קומות,6,רביעית,1999,"4,076 ₪",8
יד לבנים 178,77.5,29/12/2022,"990,000 ₪",12496-10-27,דירה בבית קומות,3,שניה,1970,"12,857 ₪",9
יד לבנים 178,77.5,17/12/2009,"363,000 ₪",12496-10-27,דירה בבית קומות,3,שניה,1970,"12,857 ₪",9
יד לבנים 178,77.5,21/03/2005,"235,000 ₪",12496-10-27,דירה בבית קומות,3,שניה,1970,"12,857 ₪",9
פאר 28,54,21/12/2022,"300,000 ₪",12497-3-21,דירה בבית קומות,3,רביעית,1960,"5,556 ₪",4
פאר 66,51.2,19/12/2022,"880,000 ₪",11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 66,51.2,23/07/2000,"368,000 ₪",11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
