כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
צבי בן יעקב 4,105.29,50%,"737,500 ₪",10796-126-4,דירה בבית קומות,4,"קרקע,ראשונה",1994,"14,048 ₪",2
צבי בן יעקב 4,105.29,2,50%,10796-126-4,דירה בבית קומות,4,"קרקע,ראשונה",1994,"14,048 ₪",2
צבי בן יעקב 4,105.29,"737,500 ₪","1,475,000 ₪",10796-126-4,דירה בבית קומות,4,"קרקע,ראשונה",1994,"14,048 ₪",2
אבא חושי 20,82.76,21/11/2024,"1,830,000 ₪",10798-50-4,דירה בבית קומות,4,שלישית,2001,"22,317 ₪",3
אבא חושי 20,82.76,10/08/1999,"1,131,000 ₪",10798-50-4,דירה בבית קומות,4,שלישית,2001,"22,317 ₪",3
ג'ניה טברסקי 3,109.11,20/11/2024,"2,400,000 ₪",10796-148-32,דירה בבית קומות,4,חמישית,1995,"22,018 ₪",5
ג'ניה טברסקי 3,109.11,08/05/2022,"1,900,000 ₪",10796-148-32,דירה בבית קומות,4,חמישית,1995,"22,018 ₪",5
ג'ניה טברסקי 3,109.11,11/11/2014,"1,650,000 ₪",10796-148-32,דירה בבית קומות,4,חמישית,1995,"22,018 ₪",5
ג'ניה טברסקי 3,109.11,06/04/2005,"992,000 ₪",10796-148-32,דירה בבית קומות,4,חמישית,1995,"22,018 ₪",5
ליונל ווטסון 20,115.9,19/11/2024,"2,550,000 ₪",10797-33-5,דירה בבית קומות,4,שלישית,1970,"22,174 ₪",6
ליונל ווטסון 20,115.9,05/10/2010,"1,025,000 ₪",10797-33-5,דירה בבית קומות,4,שלישית,1970,"22,174 ₪",6
היסמין 2,155.59,18/11/2024,"298,000 ₪",10796-157-135,דירה בבית קומות,5,"חמישית, שישית",1980,"1,915 ₪",21
אבא חושי 20,129.73,17/11/2024,"2,400,000 ₪",10798-50-11,דירה בבית קומות,5,רביעית וחמישית,2001,"18,605 ₪",3
אבא חושי 20,129.73,07/09/2010,"1,750,000 ₪",10798-50-11,דירה בבית קומות,5,רביעית וחמישית,2001,"18,605 ₪",3
אבא חושי 20,129.73,17/11/1999,"1,432,000 ₪",10798-50-11,דירה בבית קומות,5,רביעית וחמישית,2001,"18,605 ₪",3
ללא כתובת,1005,13/11/2024,"2,431,000 ₪",10680-94-5,קרקע למגורים,לא ידוע,לא ידוע,0,"2,419 ₪",0
ללא כתובת,462,13/11/2024,"2,068,000 ₪",10680-94-4,קרקע למגורים,לא ידוע,לא ידוע,0,"4,476 ₪",0
חורב 34,110.78,04/11/2024,"1,760,000 ₪",10785-7-10,דירה בבית קומות,6,קרקע,1960,"16,000 ₪",2
חורב 34,110.78,11/02/2005,"875,000 ₪",10785-7-10,דירה בבית קומות,6,קרקע,1960,"16,000 ₪",2
אידר 15,115,03/11/2024,"3,253,000 ₪",10785-24-7,דירה בבית קומות,5,ראשונה,1980,"28,287 ₪",5
אידר 15,115,13/01/2012,"1,875,000 ₪",10785-24-7,דירה בבית קומות,5,ראשונה,1980,"28,287 ₪",5
ג'ניה טברסקי 9,114.92,03/11/2024,"3,330,000 ₪",10796-148-6,דירה בבית קומות,5,קרקע,1995,"29,211 ₪",6
ג'ניה טברסקי 9,114.92,10/05/2005,"1,369,000 ₪",10796-148-6,דירה בבית קומות,5,קרקע,1995,"29,211 ₪",6
ג'ניה טברסקי 9,114.92,29/05/2001,"1,038,000 ₪",10796-148-6,דירה בבית קומות,5,קרקע,1995,"29,211 ₪",6
משה סורוקה 3,51,21/10/2024,"1,525,000 ₪",10798-44-1,דירה בבית קומות,2,קרקע,1960,"29,902 ₪",2
משה סורוקה 3,51,21/08/2019,"1,150,000 ₪",10798-44-1,דירה בבית קומות,2,קרקע,1960,"29,902 ₪",2
אידר 46,93.4,09/10/2024,"2,315,000 ₪",10795-3-8,דירה בבית קומות,5,ראשונה,1970,"24,892 ₪",3
אידר 46,93.4,18/12/2016,"1,830,000 ₪",10795-3-8,דירה בבית קומות,5,ראשונה,1970,"24,892 ₪",3
אידר 46,93.4,02/11/2009,"900,000 ₪",10795-3-8,דירה בבית קומות,5,ראשונה,1970,"24,892 ₪",3
אידר 46,93.4,05/02/2003,"830,000 ₪",10795-3-8,דירה בבית קומות,5,ראשונה,1970,"24,892 ₪",3
בני ברית 14,111.93,24/09/2024,"2,300,000 ₪",10796-94-5,דירה בבית קומות,5,רביעית חמישית,1970,"20,549 ₪",2
משה סורוקה 49,113.16,23/09/2024,"2,300,000 ₪",10796-149-10,דירה בבית קומות,4,ראשונה,1997,"20,354 ₪",2
משה סורוקה 49,113.16,24/08/2007,"1,060,000 ₪",10796-149-10,דירה בבית קומות,4,ראשונה,1997,"20,354 ₪",2
אידר 44,92.2,11/09/2024,"450,000 ₪",10795-2-2,דירה בבית קומות,3,ראשונה,1970,"4,891 ₪",3
אידר 44,92.2,10/08/2023,"225,000 ₪",10795-2-2,דירה בבית קומות,3,ראשונה,1970,"4,891 ₪",3
ליונל ווטסון 3,29,11/09/2024,"1,360,000 ₪",10797-50-2,דירה בבית קומות,2,קרקע,1970,"46,897 ₪",3
ללא כתובת,1052,02/09/2024,"1,650,000 ₪",10682-65-2,קרקע למגורים,לא ידוע,לא ידוע,0,"1,568 ₪",0
ללא כתובת,1052,27/08/2024,"1,650,000 ₪",10682-65-1,ללא תיכנון,לא ידוע,לא ידוע,0,"1,568 ₪",0
הרב אסף דוד 10,129.29,22/08/2024,"3,500,000 ₪",10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,1980,"27,132 ₪",4
הרב אסף דוד 10,129.29,10/05/2007,"1,045,000 ₪",10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,1980,"27,132 ₪",4
משה סורוקה 25,92,14/08/2024,"1,665,000 ₪",10797-68-6,דירה בבית קומות,4,שלישית,1970,"18,098 ₪",3
משה סורוקה 25,92,21/03/2011,"1,165,000 ₪",10797-68-6,דירה בבית קומות,4,שלישית,1970,"18,098 ₪",3
