כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,168.4,12/06/2003,"1,342,000 ₪",10802-89-11,דירה בבית קומות,5,"חמישית, שישית",0,"7,969 ₪",0
יאיר שטרן 20,54,14/04/2003,"200,000 ₪",10802-164-1,חנות,לא ידוע,לא ידוע,1970,"3,704 ₪",0
יוברט המפרי 25,94,19/12/2002,"246,000 ₪",11673-6-5,לא ידוע,לא ידוע,ראשונה,1960,"2,617 ₪",0
ההגנה 105,82,28/11/2002,"510,000 ₪",10912-6-8,לא ידוע,3,קרקע,1980,"6,220 ₪",2
ההגנה 105,82,22/06/1999,"429,000 ₪",10912-6-8,לא ידוע,3,קרקע,1980,"6,220 ₪",2
ההגנה 105,2063,31/10/2002,"66,000 ₪",10912-6-0,לא ידוע,לא ידוע,לא ידוע,1980,32 ₪,2
ללא כתובת,100,22/10/2002,"572,000 ₪",10802-54-2,לא ידוע,4,שניה,0,"5,720 ₪",0
ללא כתובת,50,22/10/2002,"119,000 ₪",10802-54-1,מלאכה,לא ידוע,ראשונה,0,"2,380 ₪",0
התורן 34,63.7,16/04/2002,"263,000 ₪",11672-14-9,לא ידוע,2,ראשונה,1950,"4,129 ₪",3
גנרל קניג פייר 5,51.3,20/02/2002,"540,000 ₪",10906-301-62,לא ידוע,2,שניה,1998,"10,526 ₪",8
יאיר שטרן 13,65,06/01/2002,"449,000 ₪",10802-159-3,לא ידוע,4,שניה,1960,"6,908 ₪",4
התורן 32,61.24,03/01/2002,"389,000 ₪",11672-15-11,לא ידוע,3,שניה,1960,"6,352 ₪",4
גנרל קניג פייר 1,76.8,01/11/2001,"688,000 ₪",10906-301-21,לא ידוע,3.5,שישית,1998,"8,958 ₪",8
יוברט המפרי 25,75,29/10/2001,"541,000 ₪",11673-6-6,לא ידוע,3,ראשונה,1930,"7,213 ₪",0
גנרל קניג פייר 1,101.4,14/10/2001,"1,002,000 ₪",10906-301-28,לא ידוע,4,שמינית,1998,"9,882 ₪",8
ללא כתובת,63,19/06/2001,"271,000 ₪",10801-66-1,לא ידוע,2,ראשונה,0,"4,302 ₪",0
יאיר שטרן 29,60.1,12/06/2001,"396,000 ₪",10802-162-19,לא ידוע,3,ראשונה,1960,"6,589 ₪",4
העוגן 26,80,10/06/2001,"518,000 ₪",10802-28-1,לא ידוע,3,ראשונה,1950,"6,475 ₪",1
העוגן 9,104.5,18/04/2001,"583,000 ₪",10802-68-4,לא ידוע,4,ראשונה+שניה,1970,"5,579 ₪",3
התורן 42,89.06,18/11/2000,"787,000 ₪",11672-10-6,לא ידוע,3,שלישית,1987,"8,837 ₪",6
התורן 22,63.7,17/08/2000,"337,000 ₪",11672-18-4,לא ידוע,3,ראשונה,1950,"5,290 ₪",3
העוגן 14,120,01/05/2000,"1,129,000 ₪",10802-10-1,לא ידוע,4,ראשונה,1939,"9,408 ₪",1
התורן 32,61.24,03/10/1999,"398,000 ₪",11672-15-13,לא ידוע,3,שלישית,1960,"6,499 ₪",4
ללא כתובת,76,21/07/1999,"528,000 ₪",10802-62-3,דירה בבית קומות,3,שניה,0,"6,947 ₪",0
ההגה 8,87,04/07/1999,"529,000 ₪",10802-18-1,לא ידוע,4,ראשונה,1970,"6,080 ₪",2
גנרל קניג פייר 1,76.8,27/06/1999,"711,000 ₪",10906-301-25,לא ידוע,לא ידוע,שביעית,1998,"9,355 ₪",8
גנרל קניג פייר 1,76.8,14/05/1999,"691,000 ₪",10906-301-25,לא ידוע,לא ידוע,שביעית,1998,"9,355 ₪",8
גנרל קניג פייר 1,76.8,14/10/1998,"633,000 ₪",10906-301-25,לא ידוע,לא ידוע,שביעית,1998,"9,355 ₪",8
התורן 18,61.24,03/06/1999,"347,000 ₪",11672-19-1,לא ידוע,3,ראשונה,1950,"5,666 ₪",4
התורן 22,63.7,31/03/1999,"381,000 ₪",11672-18-11,לא ידוע,3,שניה,1950,"5,981 ₪",3
גנרל קניג פייר 1,76.8,22/03/1999,"703,000 ₪",10906-301-17,לא ידוע,לא ידוע,חמישית,1998,"9,250 ₪",8
גנרל קניג פייר 1,76.8,19/08/1998,"627,000 ₪",10906-301-17,לא ידוע,לא ידוע,חמישית,1998,"9,250 ₪",8
התורן 11,57.7,17/02/1999,"559,000 ₪",10802-8-5,לא ידוע,3,שניה,1960,"9,688 ₪",2
גנרל קניג פייר 1,83.8,28/12/1998,"768,000 ₪",10906-301-4,לא ידוע,4,שניה,1998,"9,165 ₪",8
העוגן 15,95.17,21/12/1998,"685,000 ₪",10802-63-5,לא ידוע,3,קרקע וראשונה,1930,"7,198 ₪",2
התורן 10,63.7,16/12/1998,"356,000 ₪",11672-24-1,לא ידוע,3,קרקע,1960,"5,589 ₪",3
התורן 45,83.2,02/11/1998,"880,000 ₪",10906-11-5,לא ידוע,4,ראשונה,1997,"10,577 ₪",2
ללא כתובת,75,13/08/1998,"634,000 ₪",10802-18-0,לא ידוע,3,לא ידוע,0,"8,453 ₪",0
העוגן 43,51.5,01/07/1998,"476,000 ₪",10906-2-1,לא ידוע,3,קרקע,1960,"9,243 ₪",2
התורן 10,63.7,12/06/1998,"416,000 ₪",11672-24-9,לא ידוע,3,ראשונה,1960,"6,531 ₪",3
גנרל קניג פייר 1,76.8,04/06/1998,"676,000 ₪",10906-301-13,לא ידוע,לא ידוע,רביעית,1998,"8,802 ₪",8
התורן 41,57.14,12/05/1998,"367,000 ₪",10906-9-9,לא ידוע,3,שלישית,1972,"6,423 ₪",3
התורן 40,63.7,23/03/1998,"432,000 ₪",11672-12-7,לא ידוע,3,שלישית,1960,"6,782 ₪",3
העוגן 9,90,25/02/1998,"591,000 ₪",10802-68-0,לא ידוע,4,רביעית,1970,"6,567 ₪",3
