כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
"מח""ל 11",49,17/11/2021,"705,000 ₪",11567-622-9,דירה בבית קומות,3,ראשונה,1960,"14,388 ₪",4
"מח""ל 11",49,02/05/2012,"360,000 ₪",11567-622-9,דירה בבית קומות,3,ראשונה,1960,"14,388 ₪",4
דגניה 7,42.79,17/11/2021,"650,000 ₪",11571-154-2,דירה בבית קומות,3,ראשונה,1960,"15,190 ₪",4
כברי 8,83.2,16/11/2021,"840,000 ₪",11572-240-12,דירה בבית קומות,4,שלישית,1980,"10,120 ₪",8
כברי 8,83.2,20/07/2015,"670,000 ₪",11572-240-12,דירה בבית קומות,4,שלישית,1980,"10,120 ₪",8
דגניה 23,36.5,16/11/2021,"590,000 ₪",11571-142-17,דירת גן,2,ראשונה,1960,"16,389 ₪",4
דגניה 23,36.5,31/08/2001,"255,000 ₪",11571-142-17,דירת גן,2,ראשונה,1960,"16,389 ₪",4
דגניה 73,40.32,16/11/2021,"1,080,000 ₪",11567-547-7,דירה בבית קומות,2,רביעית,1960,"27,000 ₪",4
דגניה 73,40.32,20/06/2019,"699,000 ₪",11567-547-7,דירה בבית קומות,2,רביעית,1960,"27,000 ₪",4
דגניה 73,40.32,15/08/2012,"400,000 ₪",11567-547-7,דירה בבית קומות,2,רביעית,1960,"27,000 ₪",4
דגניה 73,40.32,21/02/2012,"300,000 ₪",11567-547-7,דירה בבית קומות,2,רביעית,1960,"27,000 ₪",4
דגניה 73,40.32,09/09/1999,"229,000 ₪",11567-547-7,דירה בבית קומות,2,רביעית,1960,"27,000 ₪",4
אנה פרנק 29,78.63,16/11/2021,"900,000 ₪",11572-80-3,דירה בבית קומות,3,ראשונה,1970,"11,446 ₪",3
דגניה 5,42.79,12/11/2021,"740,000 ₪",11573-5-3,דירה בבית קומות,3,ראשונה,1960,"17,619 ₪",4
דגניה 5,42.79,11/12/2016,"520,000 ₪",11573-5-3,דירה בבית קומות,3,ראשונה,1960,"17,619 ₪",4
דגניה 5,42.79,01/06/2008,"205,000 ₪",11573-5-3,דירה בבית קומות,3,ראשונה,1960,"17,619 ₪",4
כברי 10,61.3,11/11/2021,"643,000 ₪",11572-241-11,דירה בבית קומות,3,שלישית,1970,"10,489 ₪",8
שאר ישוב 5,137,11/11/2021,"1,180,000 ₪",11567-82-2,דירה בבית קומות,5,שניה,1960,"8,613 ₪",2
